frame,node_id,name,zh,en,source,var,action,note,text,id
gallery/search_no_result,107:163,placeholder,按内容、地点、文字搜索…,"Search by content, location, text…",matched,gallery.search.hint,bind,,按内容、地点、文字搜索…,107:163
gallery/search_no_result,107:160,result_count,12 张,,manual,,bind,no-strings-hit,12 张,107:160
gallery/search_no_result,107:168,no_result_msg,未找到匹配 “冬天” 的照片,,manual,,bind,no-strings-hit,未找到匹配 “冬天” 的照片,107:168
gallery/scanning,107:191,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:191
gallery/scanning,107:231,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:231
gallery/scanning,107:232,group_count,(6),(6),literal,,skip,data,(6),107:232
gallery/scanning,107:239,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:239
gallery/scanning,107:240,group_count,(3),(3),literal,,skip,data,(3),107:240
gallery/sort_menu,107:266,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:266
gallery/sort_menu,107:304,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:304
gallery/sort_menu,107:305,group_count,(6),(6),literal,,skip,data,(6),107:305
gallery/sort_menu,107:312,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:312
gallery/sort_menu,107:313,group_count,(3),(3),literal,,skip,data,(3),107:313
gallery/sort_menu,107:340,label,按日期分组,,manual,,bind,no-strings-hit,按日期分组,107:340
gallery/sort_menu,107:344,label,按人脸分组,,manual,,bind,no-strings-hit,按人脸分组,107:344
gallery/sort_menu,107:346,label,按人物分组,,manual,,bind,no-strings-hit,按人物分组,107:346
gallery/sort_menu,107:348,label,按风景分组,,manual,,bind,no-strings-hit,按风景分组,107:348
gallery/sort_menu,107:350,label,按位置分组,,manual,,bind,no-strings-hit,按位置分组,107:350
gallery/sort_menu,107:352,label,不分组,,manual,,bind,no-strings-hit,不分组,107:352
gallery/selection,107:355,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:355
gallery/selection,107:389,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:389
gallery/selection,107:390,group_count,(6),(6),literal,,skip,data,(6),107:390
gallery/settings,118:5,title,相册设置,,manual,,bind,no-strings-hit,相册设置,118:5
gallery/settings,118:7,secLabelA,相册功能,,manual,,bind,no-strings-hit,相册功能,118:7
gallery/settings,118:14,t,重复图管理,,manual,,bind,no-strings-hit,重复图管理,118:14
gallery/settings,118:15,st,查找并删除重复相似照片，释放空间,,manual,,bind,no-strings-hit,查找并删除重复相似照片，释放空间,118:15
gallery/settings,118:23,t,TAG 生成加速,,manual,,bind,no-strings-hit,TAG 生成加速,118:23
gallery/settings,118:24,st,端侧打标推理后端,,manual,,bind,no-strings-hit,端侧打标推理后端,118:24
gallery/settings,118:26,optCpu,CPU,CPU,matched,device.preference.force.cpu,bind,"multi:device_preference_force_cpu,ai_agent_local_backend_cpu",CPU,118:26
gallery/settings,118:28,t,OpenCL,OpenCL,literal,,skip,data,OpenCL,118:28
gallery/settings,118:29,secLabelB,扫描控制,,manual,,bind,no-strings-hit,扫描控制,118:29
gallery/settings,118:32,t,扫描状态,Scan status,matched,tag.scan.status,bind,,扫描状态,118:32
gallery/settings,118:36,t,已完成,Up to date,matched,tag.scan.up.to.date,bind,,已完成,118:36
gallery/settings,118:39,scanCaption,"本轮扫描 12,593 张 · 失败 2 张 · 今天 22:40 完成",,manual,,bind,no-strings-hit,"本轮扫描 12,593 张 · 失败 2 张 · 今天 22:40 完成",118:39
gallery/settings,118:44,t,重新扫描,,manual,,bind,no-strings-hit,重新扫描,118:44
gallery/settings,118:48,t,取消,Cancel,matched,cancel,bind,"multi:cancel,ai_chat_cancel,report_issue_cancel",取消,118:48
gallery/settings,118:49,secLabelC,相册统计,,manual,,bind,no-strings-hit,相册统计,118:49
gallery/settings,118:52,t,数据库累计统计,,manual,,bind,no-strings-hit,数据库累计统计,118:52
gallery/settings,118:54,entry,标签查看,Tag Viewer,matched,tag.viewer.title,bind,,标签查看,118:54
gallery/settings,118:59,bigNum,"12,593","12,593",literal,,skip,data,"12,593",118:59
gallery/settings,118:60,heroCap,张照片 · 语义索引已覆盖 98%,,manual,,bind,no-strings-hit,张照片 · 语义索引已覆盖 98%,118:60
gallery/settings,118:65,ringPct,98%,98%,literal,,skip,data,98%,118:65
gallery/settings,118:71,v,"3,208","3,208",literal,,skip,data,"3,208",118:71
gallery/settings,118:72,l,含人脸照片,With faces,matched,tag.stats.with.face,bind,,含人脸照片,118:72
gallery/settings,118:77,v,"3,207","3,207",literal,,skip,data,"3,207",118:77
gallery/settings,118:78,l,人脸 Embedding,Face embeddings,matched,tag.stats.embeddings,bind,,人脸 Embedding,118:78
gallery/settings,118:84,v,47,47,literal,,skip,data,47,118:84
gallery/settings,118:85,l,识别出的人物,,manual,,bind,no-strings-hit,识别出的人物,118:85
gallery/settings,118:90,v,18,18,literal,,skip,data,18,118:90
gallery/settings,118:91,l,已命名人物,,manual,,bind,no-strings-hit,已命名人物,118:91
gallery/settings,118:93,l,人脸检测 · Pass 1,,manual,,bind,no-strings-hit,人脸检测 · Pass 1,118:93
gallery/settings,118:95,p,98%,98%,literal,,skip,data,98%,118:95
gallery/settings,118:99,l,内容理解 · Pass 3,,manual,,bind,no-strings-hit,内容理解 · Pass 3,118:99
gallery/settings,118:101,p,85%,85%,literal,,skip,data,85%,118:101
